pl_name,hostname,ra,dec
HD 25463 c,HD 25463,60.7483361,9.2077676
HD 77946 b,HD 77946,136.777644,46.6724251
TOI-1173 b,TOI-1173,197.6830975,70.7680117
Gaia22dkvL b,Gaia22dkvL,151.769,-66.1808889
TOI-421 c,TOI-421,81.8532824,-14.2767404
TOI-1685 b,TOI-1685,68.5939529,43.0370395
HD 158259 e,HD 158259,261.3495847,52.7904721
WASP-98 b,WASP-98,58.4290113,-34.3282716
TOI-238 b,TOI-238,349.2310814,-18.6066463
HD 158259 f,HD 158259,261.3495847,52.7904721
Kepler-93 c,Kepler-93,291.4181275,38.6723124
KELT-23 A b,KELT-23 A,232.1466406,66.3587097
Kepler-36 b,Kepler-36,291.2501859,49.2318073
TOI-1518 b,TOI-1518,352.2675207,67.0348062
HIP 94235 b,HIP 94235,287.7411441,-60.2726358
Kepler-68 b,Kepler-68,291.0323102,49.0402129
Kepler-93 b,Kepler-93,291.4181275,38.6723124
WASP-73 b,WASP-73,319.9496969,-58.1489328
Kepler-1658 b,Kepler-1658,294.3565559,38.9473424
Kepler-47 b,Kepler-47,295.2978883,46.9204303
Kepler-47 d,Kepler-47,295.2978883,46.9204303
HAT-P-55 b,HAT-P-55,264.2735096,25.7311468
Kepler-12 b,Kepler-12,286.2434458,50.0403671
HR 810 b,HR 810,40.6417178,-50.7993484
HD 164604 b,HD 164604,270.7787177,-28.5608343
GJ 876 b,GJ 876,343.3239737,-14.2665958
GJ 876 c,GJ 876,343.3239737,-14.2665958
GJ 876 d,GJ 876,343.3239737,-14.2665958
GJ 876 e,GJ 876,343.3239737,-14.2665958
TOI-700 e,TOI-700,97.0957165,-65.5786149
HD 111232 b,HD 111232,192.2159553,-68.4246679
HD 111232 c,HD 111232,192.2159553,-68.4246679
HD 142 A d,HD 142,1.5836771,-49.0753625
HD 142 b,HD 142,1.5836771,-49.0753625
HD 142 c,HD 142,1.5836771,-49.0753625
TOI-2379 b,TOI-2379,358.0920465,-53.043156
TOI-2384 b,TOI-2384,36.1561463,-65.0001957
BD-17 63 b,BD-17 63,7.1413494,-16.2273254
HD 81040 b,HD 81040,140.9455027,20.3646078
HD 132406 b,HD 132406,224.2276121,53.3809615
HD 175167 b,HD 175167,285.0033888,-69.9450664
WASP-183 b,WASP-183,163.7888521,-0.7370663
HD 40307 b,HD 40307,88.5172191,-60.0237289
HD 40307 d,HD 40307,88.5172191,-60.0237289
HD 40307 g,HD 40307,88.5172191,-60.0237289
OGLE-2019-BLG-1470L AB c,OGLE-2019-BLG-1470L A,271.9492083,-27.0335556
HR 5183 b,HR 5183,206.7357992,6.3498994
WASP-54 b,WASP-54,205.4542456,-0.1281712
Kepler-305 e,Kepler-305,299.2242557,40.343167
TOI-178 e,TOI-178,7.3020115,-30.4541159
Kepler-186 f,Kepler-186,298.652736,43.9549884
WASP-153 b,WASP-153,279.2624729,40.0186905
Kepler-305 b,Kepler-305,299.2242557,40.343167
Kepler-305 c,Kepler-305,299.2242557,40.343167
Kepler-49 e,Kepler-49,292.2945208,40.5918123
Kepler-85 d,Kepler-85,290.9734395,45.2902761
Kepler-24 d,Kepler-24,290.4132621,38.3437283
Kepler-186 b,Kepler-186,298.652736,43.9549884
Kepler-186 d,Kepler-186,298.652736,43.9549884
Kepler-76 b,Kepler-76,294.1921185,39.6189727
LTT 3780 b,LTT 3780,154.6449033,-11.717801
WASP-2 b,WASP-2,307.7255587,6.4293305
GJ 436 b,GJ 436,175.5505363,26.7030669
Kepler-435 b,Kepler-435,292.2873012,43.1972542
WASP-56 b,WASP-56,183.3660401,23.055687
LTT 3780 c,LTT 3780,154.6449033,-11.717801
HATS-57 b,HATS-57,60.9482779,-19.0568182
HD 202772 A b,HD 202772 A,319.6995877,-26.6163743
KELT-20 b,KELT-20,294.6614126,31.2192001
TOI-172 b,TOI-172,316.6318791,-26.6928654
HATS-41 b,HATS-41,103.5173558,-27.0504156
TOI-2048 b,TOI-2048,237.9241066,52.3063083
HD 191939 d,HD 191939,302.0256247,66.8503014
TOI-181 b,TOI-181,352.1725409,-34.4914099
TOI-561 b,TOI-561,148.1851516,6.216103
TOI-561 c,TOI-561,148.1851516,6.216103
TOI-561 d,TOI-561,148.1851516,6.216103
Kepler-20 b,Kepler-20,287.6979913,42.3385782
Kepler-20 e,Kepler-20,287.6979913,42.3385782
Kepler-20 f,Kepler-20,287.6979913,42.3385782
Kepler-37 b,Kepler-37,284.0592503,44.5183733
Kepler-37 c,Kepler-37,284.0592503,44.5183733
Kepler-78 b,Kepler-78,293.7419543,44.4482521
Kepler-538 b,Kepler-538,297.4865503,49.6233975
TOI-2443 b,TOI-2443,40.1798608,1.1996757
LTT 1445 A b,LTT 1445 A,45.4624781,-16.5944956
TOI-4641 b,TOI-4641,42.5582023,25.3335334
TOI-1347 c,TOI-1347,280.3266806,70.2900536
Kepler-23 d,Kepler-23,294.2189131,49.4792536
Kepler-24 b,Kepler-24,290.4132621,38.3437283
Kepler-49 b,Kepler-49,292.2945208,40.5918123
Kepler-49 c,Kepler-49,292.2945208,40.5918123
Kepler-28 b,Kepler-28,292.1370409,42.4294835
Kepler-58 d,Kepler-58,296.3586251,39.1152033
L 98-59 b,L 98-59,124.5328604,-68.3144658
L 98-59 c,L 98-59,124.5328604,-68.3144658
L 98-59 d,L 98-59,124.5328604,-68.3144658
L 98-59 e,L 98-59,124.5328604,-68.3144658
AU Mic b,AU Mic,311.2911369,-31.34245
AU Mic c,AU Mic,311.2911369,-31.34245
AU Mic d,AU Mic,311.2911369,-31.34245
TOI-4914 b,TOI-4914,204.5426717,-28.1429206
TOI-2714 b,TOI-2714,61.4012482,-14.9267458
TOI-2981 b,TOI-2981,163.487394,-25.5245988
HIP 67522 b,HIP 67522,207.526001,-40.8358961
HIP 67522 c,HIP 67522,207.526001,-40.8358961
HIP 116454 b,HIP 116454,353.9543517,0.4447043
TOI-4562 b,TOI-4562,112.0100593,-63.5177788
TOI-4562 c,TOI-4562,112.0100593,-63.5177788
GJ 486 b,GJ 486,191.981531,9.7494181
HD 93963 A c,HD 93963 A,162.7766969,25.641065
TOI-2076 c,TOI-2076,217.3920159,39.7903991
TOI-1794 b,TOI-1794,203.3974857,49.0608433
TOI-1246 c,TOI-1246,251.1158702,70.4299917
TOI-1723 b,TOI-1723,116.7971978,68.4766845
TOI-2088 b,TOI-2088,261.3748943,75.8822796
TOI-1444 b,TOI-1444,305.4749252,70.9437054
TOI-1467 b,TOI-1467,19.1146441,49.2331382
TOI-1824 b,TOI-1824,197.7312286,61.7448492
HD 63935 b,HD 63935,117.9246417,9.3852412
SPECULOOS-3 b,SPECULOOS-3,312.3632611,33.6123832
HATS-45 b,HATS-45,101.9942455,-21.9107112
WASP-166 b,WASP-166,144.8751047,-20.9824191
TOI-163 b,TOI-163,79.7682532,-71.8955269
TOI-892 b,TOI-892,86.738228,-11.2353401
TOI-837 b,TOI-837,157.0372806,-64.5052107
HATS-1 b,HATS-1,175.5252399,-23.3548451
TOI-1670 b,TOI-1670,259.0172522,72.1611806
TOI-1670 c,TOI-1670,259.0172522,72.1611806
TOI-1248 b,TOI-1248,259.0235918,63.1056072
TOI-1244 b,TOI-1244,256.279559,69.519093
TOI-1775 b,TOI-1775,150.1151015,39.4577506
TOI-1776 b,TOI-1776,164.7772913,40.9837182
HD 118203 b,HD 118203,203.509956,53.7281876
HD 118203 c,HD 118203,203.509956,53.7281876
TOI-1181 b,TOI-1181,297.2158166,64.3543506
HD 235088 b,HD 235088,300.6154535,53.3774418
TOI-1184 b,TOI-1184,272.2045196,60.6787845
TOI-1807 b,TOI-1807,201.2826259,38.9223671
TOI-762 A b,TOI-762 A,166.0747423,-47.8214964
TOI-3353.01,TOI-3353,106.5298146,-75.8195594
TOI-2374 b,TOI-2374,319.4982407,-22.0498228
TOI-1443 b,TOI-1443,297.398678,76.1391776
HD 135694 b,HD 135694,227.8678636,71.8412965
TOI-3884 b,TOI-3884,181.5718341,12.5070258
TOI-5634 A b,TOI-5634 A,175.6436366,20.9652921
TOI-260 b,TOI-260,4.7730178,-9.9661505
Kepler-7 b,Kepler-7,288.5814928,41.0897335
KOI-94 b,KOI-94,297.3330716,41.8911186
KOI-94 d,KOI-94,297.3330716,41.8911186
HAT-P-59 b,HAT-P-59,292.4588212,62.5291892
Kepler-176 c,Kepler-176,294.6679021,43.8532104
WASP-57 b,WASP-57,223.8199788,-2.0576866
WASP-83 b,WASP-83,190.1519558,-19.2843527
HAT-P-50 b,HAT-P-50,118.0634379,12.1393474
WASP-135 b,WASP-135,267.2848846,29.8790428
WASP-113 b,WASP-113,224.8728589,46.9600996
WASP-142 b,WASP-142,140.5063164,-23.946102
WASP-127 b,WASP-127,160.5587646,-3.8349989
HIP 39017 b,HIP 39017,119.7665756,-4.3326006
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,266.3240417,-25.0794889
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,267.6200833,-29.62275
KMT-2023-BLG-1642L b,KMT-2023-BLG-1642L,261.366,-29.0584694
HD 158259 d,HD 158259,261.3495847,52.7904721
Kepler-506 b,Kepler-506,284.6351885,40.7198296
TOI-5398 c,TOI-5398,161.8795569,36.3294345
Kepler-58 b,Kepler-58,296.3586251,39.1152033
Kepler-54 d,Kepler-54,294.7739245,43.0561976
Kepler-54 b,Kepler-54,294.7739245,43.0561976
HAT-P-65 b,HAT-P-65,315.9054895,11.9893675
TOI-4010 c,TOI-4010,20.2148196,66.0722009
WASP-46 b,WASP-46,318.7370122,-55.8718634
HD 158259 b,HD 158259,261.3495847,52.7904721
WASP-63 b,WASP-63,94.3363562,-38.3233826
HATS-3 b,HATS-3,312.4574879,-24.4286938
TOI-880.02,TOI-880,94.1644734,-13.987337
Kepler-52 c,Kepler-52,286.7380152,49.9757383
Kepler-58 c,Kepler-58,296.3586251,39.1152033
Kepler-176 d,Kepler-176,294.6679021,43.8532104
TOI-406.01,TOI-406,49.2626428,-42.2441492
Kepler-60 b,Kepler-60,288.9612535,42.2650472
WASP-164 b,WASP-164,344.8735878,-60.4478194
LHS 3844 b,LHS 3844,340.4962038,-69.1721081
HATS-46 b,HATS-46,6.7026401,-56.3161021
DS Tuc A b,DS Tuc A,354.9154673,-69.196043
HATS-25 b,HATS-25,207.9076746,-23.7812403
LP 714-47 b,LP 714-47,64.1902212,-12.0848643
TOI-1269 b,TOI-1269,249.6966397,64.559181
KOI-12 b,KOI-12,297.4537402,41.0110188
TOI-778 b,TOI-778,199.3338503,-15.2737046
HATS-33 b,HATS-33,294.6336944,-55.3302692
Kepler-448 c,KOI-12,297.4537402,41.0110188
GJ 1252 b,GJ 1252,306.9286462,-56.4622865
HD 180902 b,HD 180902,289.8239604,-23.5582432
HAT-P-43 b,HAT-P-43,128.9256885,10.2065866
